ICD10 plots,from ICD9,dx,n,desc
,,E049,2272,"E049 - Nontoxic goiter, unspecified"
,,M2011,2267,"M2011 - Hallux valgus (acquired), right foot"
,,Z89612,2266,Z89612 - Acquired absence of left leg above knee
,,C641,2264,"C641 - Malignant neoplasm of right kidney, exce"
,,I159,2263,"I159 - Secondary hypertension, unspecified"
,Y,K2900,2261,K2900 - Acute gastritis without bleeding
,,Z993,2259,Z993 - Dependence on wheelchair
,,I779,2258,"I779 - Disorder of arteries and arterioles, uns"
,,Z4801,2254,Z4801 - Encounter for change or removal of surgi
,,R1319,2252,R1319 - Other dysphagia
,,Z780,2252,Z780 - Asymptomatic menopausal state
,,L720,2250,L720 - Epidermal cyst
,,C44319,2246,C44319 - Basal cell carcinoma of skin of other pa
,,H25811,2241,"H25811 - Combined forms of age-related cataract, "
,,I4581,2238,I4581 - Long QT syndrome
,,C7802,2232,C7802 - Secondary malignant neoplasm of left lun
,,Z881,2231,Z881 - Allergy status to other antibiotic agent
,,H16223,2229,"H16223 - Keratoconjunctivitis sicca, not specifie"
,,C770,2228,C770 - Secondary and unspecified malignant neop
,,F909,2228,F909 - Attention-deficit hyperactivity disorder
,,Z9989,2220,Z9989 - Dependence on other enabling machines an
,,Z800,2219,Z800 - Family history of malignant neoplasm of 
,,Z9221,2219,Z9221 - Personal history of antineoplastic chemo
,,D259,2218,"D259 - Leiomyoma of uterus, unspecified"
,113,,,
