FROM ICD 9,From ICD10,dx,n,desc
,,H16223,842,"H16223 - Keratoconjunctivitis sicca, not specifie"
,,L03119,842,L03119 - Cellulitis of unspecified part of limb
Y,,I200,841,I200 - Unstable angina
,,J95811,841,J95811 - Postprocedural pneumothorax
,,B078,840,B078 - Other viral warts
,,I6782,839,I6782 - Cerebral ischemia
,,H26491,837,"H26491 - Other secondary cataract, right eye"
,,R194,837,R194 - Change in bowel habit
,,Z792,837,Z792 - Long term (current) use of antibiotics
,,F900,835,F900 - Attention-deficit hyperactivity disorder
,,I771,835,I771 - Stricture of artery
,,M7501,835,M7501 - Adhesive capsulitis of right shoulder
,,F4320,834,"F4320 - Adjustment disorder, unspecified"
,,F4542,834,F4542 - Pain disorder with related psychological
,,H35033,834,"H35033 - Hypertensive retinopathy, bilateral"
,,Z791,834,Z791 - Long term (current) use of non-steroidal
,,B9562,831,B9562 - Methicillin resistant Staphylococcus aur
Y,,R1010,831,"R1010 - Upper abdominal pain, unspecified"
,,C495,829,C495 - Malignant neoplasm of connective and sof
,,Z882,828,Z882 - Allergy status to sulfonamides status
,,M25661,827,"M25661 - Stiffness of right knee, not elsewhere c"
,,C672,826,C672 - Malignant neoplasm of lateral wall of bl
,,M25521,826,M25521 - Pain in right elbow
,,Z8701,826,Z8701 - Personal history of pneumonia (recurrent
,,B349,824,"B349 - Viral infection, unspecified"
,,F1920,824,"F1920 - Other psychoactive substance dependence,"
,,R161,824,"R161 - Splenomegaly, not elsewhere classified"
